"Well ID","Well Label","Compound ID","Compound Name","Experiment","Dose [pM]","Dose Label","Start timestamp [µs]","Duration [µs]","Spike Count","Spike Frequency [Hz]"
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",139428400,58200,91,130.298
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",143147400,315600,534,141.001
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",143534700,48100,88,152.46
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",152338100,187600,385,171.02
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",158304600,347400,567,136.01
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",158702000,43400,72,138.249
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",170755200,212500,417,163.529
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",174889100,267600,473,147.297
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",175275500,44500,71,132.959
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",178804200,301900,492,135.807
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",185069700,246100,448,151.7
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",185462500,46000,87,157.609
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",196306900,212400,389,152.621
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",196556100,36900,78,176.152
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",196658000,42500,84,164.706
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",201923100,290600,504,144.529
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",207495200,320100,517,134.593
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",218256700,221900,401,150.593
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",218582400,83000,87,87.349
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",222191400,311900,521,139.201
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",226349800,318500,515,134.746
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",226840700,59700,94,131.212
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",238103900,226500,438,161.148
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",248563600,325600,521,133.344
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",248929400,37900,78,171.504
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",253086200,280400,499,148.3
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",253521900,41900,76,151.154
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",258446200,387200,540,116.219
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",265959500,228300,467,170.463
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",275583800,229000,412,149.927
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",275848900,78900,97,102.45
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",281341200,203400,414,169.617
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",281789900,59000,90,127.119
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",285741100,269800,494,152.582
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",286196900,52500,86,136.508
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",295021500,251100,474,157.308
"3","A4","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",299888300,111600,142,106.033
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",8894100,242200,384,132.122
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",9223100,54200,76,116.851
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",11754500,265600,429,134.601
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",12045700,49100,66,112.016
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",14747100,227400,382,139.988
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",14993400,47500,68,119.298
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",25333500,300200,472,131.024
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",25693600,41500,75,150.602
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",28859300,291300,464,132.738
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",29279200,63400,66,86.751
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",32161200,326900,515,131.284
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",36114700,252300,426,140.706
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",44471900,252600,438,144.497
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",44756000,38800,74,158.935
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",47878900,319600,476,124.113
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",48241500,46300,64,115.191
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",58451300,200300,402,167.249
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",58763000,60700,84,115.321
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",61567400,340600,503,123.067
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",61945500,75900,69,75.758
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",64508200,261900,436,138.73
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",64816000,49300,62,104.801
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",68352600,258900,435,140.015
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",80474900,230200,444,160.73
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",83649300,351900,514,121.72
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",84021500,50500,65,107.261
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",86711000,263700,420,132.727
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",87015700,76600,70,76.153
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",91059700,300600,504,139.721
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",91411400,64300,91,117.937
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",103549000,220900,434,163.724
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",106554200,264100,456,143.885
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",106834800,48900,70,119.291
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",106951100,83800,73,72.593
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",109732200,260100,444,142.253
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",114830100,229900,434,157.315
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",120133600,286700,474,137.775
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",120473700,55900,93,138.64
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",128406600,288400,516,149.098
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",132347300,274800,466,141.315
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",132653900,53900,73,112.863
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",136431100,252200,457,151.004
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",146011000,183900,380,172.195
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",148988700,282000,453,133.865
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",149297700,37400,66,147.059
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",149401700,70300,94,111.427
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",152677400,304900,467,127.637
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",163523600,242300,438,150.64
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",166979800,329300,514,130.074
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",167325900,50000,67,111.667
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",170473600,281400,445,131.782
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",170791700,57400,73,105.981
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",182584900,183400,366,166.303
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",185521600,378600,552,121.5
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",185952600,70700,75,88.402
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",189001900,276100,463,139.744
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",189302800,45500,67,122.711
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",194489700,220300,406,153.578
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",199358800,277500,497,149.249
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",204348700,260000,441,141.346
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",204640900,117700,135,95.582
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",213178300,252000,469,155.093
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",213475300,53200,85,133.145
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",217933100,300400,523,145.084
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",218276900,50600,67,110.343
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",223076100,278300,500,149.719
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",232941100,284900,514,150.345
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",236153600,328300,540,137.07
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",239075100,275200,457,138.384
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",251097100,161900,375,193.02
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",251279600,62100,74,99.302
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",251366900,42000,81,160.714
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",253642100,259100,437,140.551
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",253928700,47800,70,122.036
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",254060700,80600,94,97.188
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",256882700,276100,463,139.744
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",257170700,50100,67,111.444
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",264891700,262700,503,159.561
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",265204200,55900,83,123.733
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",269468000,252000,457,151.124
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",269753500,54100,70,107.825
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",269820400,52100,73,116.763
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",274177000,327700,545,138.592
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",279533600,254900,463,151.367
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",279819600,43800,72,136.986
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",289463000,213700,411,160.271
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",289713600,43200,79,152.392
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",292774400,210400,440,174.271
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",293091100,67500,69,85.185
"4","A5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",295807700,270400,431,132.828
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",3165600,139300,197,117.851
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",5922400,190400,193,84.471
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",11300200,225100,219,81.075
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",14078800,209200,167,66.523
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",21699300,178500,211,98.506
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",28523100,162600,218,111.726
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",31234400,180000,169,78.241
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",35733300,191600,215,93.511
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",40755800,178800,224,104.4
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",43634100,205100,212,86.137
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",47980600,210100,218,86.467
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",53525100,164300,227,115.135
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",56404600,188200,205,90.772
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",60231000,219500,237,89.977
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",66737300,149100,213,119.048
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",69332900,237000,208,73.136
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",76344500,166200,215,107.802
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",79663500,155200,193,103.63
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",83094900,181200,203,93.359
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",87888900,199500,235,98.162
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",93154000,174500,223,106.495
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",96148300,159100,182,95.328
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",99523500,218900,225,85.656
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",104214300,211000,232,91.627
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",109198000,158600,238,125.053
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",111926600,227200,241,88.395
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",118438500,150500,225,124.585
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",121574900,194100,227,97.458
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",125109900,187900,215,95.352
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",128416800,244900,243,82.687
"10","B5","Hippocampus","","20230524_Hippocampus_pMEA_001","0","Control",131490600,291600,217,62.014
